# Record Type DA: Article Id, Alternative Article Id
DA;032-92-0186;413-69-4643;
DA;000-19-5217;621-17-6585;
DA;000-19-5217;637-97-9162;
DA;019-78-5441;463-56-7439;
DA;010-04-9660;735-48-2335;
DA;435-36-8782;221-21-5350;
DA;669-09-9254;889-45-5077;
DA;032-92-0186;438-75-3427;
DA;542-89-7781;540-71-1534;
DA;542-89-7781;443-67-5020;
DA;000-19-5217;390-34-2699;
DA;019-78-5441;112-80-2138;
DA;019-78-5441;211-50-3664;
DA;019-78-5441;119-33-5876;
DA;010-04-9660;878-90-4377;
DA;830-69-3170;825-92-9435;
DA;000-19-5217;029-41-9183;
DA;669-09-9254;343-02-4164;
DA;542-89-7781;203-40-4307;
DA;019-78-5441;059-17-4218;
DA;069-84-6850;697-02-3582;
