# Record Type DU: Article Id, Packaging Unit Size
DU;019-78-5441;12;
DU;019-78-5441;15;
DU;032-92-0186;69;
DU;010-04-9660;70;
DU;000-19-5217;42;576;
DU;669-09-9254;96;
DU;830-69-3170;66;
DU;000-19-5217;26;
DU;542-89-7781;86;
DU;542-89-7781;95;941;
DU;019-78-5441;34;133;
DU;069-84-6850;91;
DU;019-78-5441;12;
DU;032-92-0186;58;
DU;032-92-0186;86;109;
DU;435-36-8782;10;414;
DU;000-19-5217;11;
DU;669-09-9254;66;
DU;000-19-5217;32;
DU;000-19-5217;36;274;
DU;069-84-6850;52;
DU;029-37-3633;88;
DU;542-89-7781;88;
DU;019-78-5441;67;763;
